ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
43178579445,BUKU Anotasi kuhp nasional / Anotasi Kuhap / Prinsip Prinsip Hukum Pidana / Hukum Perseroan Terbatas / Hukum Pidana Khusus / Unsur Unsur Tindak Pidana dan Teknik Penerapan Pasal KUHP,"90,0RB",77,Storebookbdg,8%,Rp7.200,https://shopee.co.id/product/1207857203/43178579445,https://s.shopee.co.id/3LNqVrWCag
28557445769,[100% Asli] Hair Spray Semprotan Penataan Rambut【320ml】Men's Hair Styling Spray Rambut Tahan Lama,"79,0RB",170,N.S.C,40%,Rp31.600,https://shopee.co.id/product/786683991/28557445769,https://s.shopee.co.id/3VhGiAVZFj
28787070632,ALTERNOX 12PCS Spidol Putih Cat Permanen Cat Permanen Minyak Cepat Kering Pena Graffiti Tahan Air Scool Pasokan Kantor,"27,9RB",950,ALTERNOX,6%,Rp1.674,https://shopee.co.id/product/916410912/28787070632,https://s.shopee.co.id/30l07FXTGe
44100616039,BLOKEES Transformers Action Figure Mainan Toys Birthday Gift 1 PCS - Shining Version(SV) 03,"119,9RB",229,Blokees Official Store,15%,Rp17.985,https://shopee.co.id/product/1388608408/44100616039,https://s.shopee.co.id/3B4QJYWpvh
5117440306,Bukupreneur - Buku Atomic Habits Perubahan Kecil Yang Memberikan Hasil Luar Biasa - James Clear,"108,0RB",3RB+,Bukupreneur Official Store,7%,Rp7.560,https://shopee.co.id/product/228597675/5117440306,https://s.shopee.co.id/2g89idYjwc
28680525490,MG Kesaria Hair Cronicle Ginseng - Hair Essence Oil - Perawatan Rambut Rontok Haircare Kemasan 100ML,"47,0RB",10RB+,MODE GAS,10%,Rp4.700,https://shopee.co.id/product/784098170/28680525490,https://s.shopee.co.id/2qRZuwY6bf
28180000641,DANYCASE Bluetooth Keyboard Case with Pencil Holder for Samsung Galaxy Tab A11 S11 S10 Lite A11+ A9 Plus S6 Lite keyboard samsung tab S9 FE A8 10.5 S7 S8 11 S7 Plus S7 FE S10 FE Plus 12.4,"75,1RB",829,DANYCASE Specialized Store,18%,Rp13.526,https://shopee.co.id/product/1495069942/28180000641,https://s.shopee.co.id/50W4UvPrD6
27437478827,<COD>12pcs Figure Mainan Incredibox Sprunki Figure Game Dr Harrison Deamond Qurst Ornaments Simon set,"65,0RB",682,Aiseo.id,6%,Rp3.900,https://shopee.co.id/product/1250976653/27437478827,https://s.shopee.co.id/5ApUhEPDs9
27760387942,AICO - Paket 6 in 1 Lengkap Buku Belajar AI Kamus Chat GPT Learning Pass AI004CO,"229,0RB",1RB+,AICO.community,17%,Rp38.930,https://shopee.co.id/product/1290348684/27760387942,https://s.shopee.co.id/4ftE6JR7t4
29337421207,Hair Spray Semprotan Penataan Rambut Pria Hair Styling Spray Rambut Styling Rambut Keras,"88,0RB",68,N.S.C,40%,Rp35.200,https://shopee.co.id/product/786683991/29337421207,https://s.shopee.co.id/4qCeIcQUY7
43858959756,FOREPLAY Parfum Pria | Pheromone Attractant 30ml – Aroma Maskulin,"350,0RB",490,TOKO PRIVASI.ID,25%,Rp87.500,https://shopee.co.id/product/489143675/43858959756,https://s.shopee.co.id/4LGNhhSOZ2
29420467335,Boneka Labubu V2 / Have A Seat Labubu Vinyl Plush Blind Box / The Monster Labubu Pop Mart Exciting Macaron,"69,0RB",223,Happy Castle Store,10%,Rp6.900,https://shopee.co.id/product/1075833276/29420467335,https://s.shopee.co.id/4VZnu0RlE5
22456717113,BUKU MERAH CAKIM SELEKSI KOMPETENSI BIDANG CPNS ANALIS PERKARA PERADILAN 2026/2027,"699,0RB",338,PUSAT CPNS,4%,Rp27.960,https://shopee.co.id/product/295186848/22456717113,https://s.shopee.co.id/40dXJ5TfF0
13418733687,Obat Penghilang Ketombe Ampuh | Ivogry Serum Ketombe dan Psiorasis,"80,0RB",574,Ivogry Official Store,30%,Rp24.000,https://shopee.co.id/product/128599851/13418733687,https://s.shopee.co.id/4AwxVOT1u3
42651233401,Perplexity Pro | 6 Bulan full garansi,"15,0RB",1RB+,GaleryTech,10%,Rp1.500,https://shopee.co.id/product/171943883/42651233401,https://s.shopee.co.id/10zvjZf5KS
26327552213,Nodia Toys Original Blind Box Nailong / Figure Nailong Boneka / Dekorasi Nailong Dino Kuning Asli / Dekorasi Desktop / Dekorasi Mobil / Minifigure Nailong Gosong / Mainan Nailong Hadiah Kado / Gantungan Kunci Dino Kuning / Mainan Gantungan Kunci Nailong,"75,9RB",441,Nodia Toys Official Store,5%,Rp3.795,https://shopee.co.id/product/1397518853/26327552213,https://s.shopee.co.id/1BJLvseRzV
16992462347,"Syalmahat Publishing Buku Islami Motivasi Islam Hidup Ini Lapang, Yang Sempit Hati Kita Self Healing Self Love","50,4RB",1RB+,Yanita Official Shop,15%,Rp7.560,https://shopee.co.id/product/123052344/16992462347,https://s.shopee.co.id/gN5KxgM0Q
22776328179,NATURE EVER-Rosemary Infused Hair Oil 60ml/100ML,"57,6RB",10RB+,Nature Ever Official Store,8%,Rp4.608,https://shopee.co.id/product/16095575/22776328179,https://s.shopee.co.id/qgVXGfifT
26566142093,Eeghrerr 60PCS Stiker Lucu Chiikawa Stiker Kartun,"13,0RB",2RB+,Eeghrerr Official Store,20%,Rp2.600,https://shopee.co.id/product/1329282085/26566142093,https://s.shopee.co.id/LkEwLhcgO
26570348139,READY STOCK PopMart Labubu Macaron Sealed Exciting Lucu Boneka Monster,"74,0RB",104,Happy Castle Store,10%,Rp7.400,https://shopee.co.id/product/1075833276/26570348139,https://s.shopee.co.id/W3f8egzLR
